ticker,earnings_date,eps_estimate,eps_actual,surprise_pct
AAPL,2024-05-02,1.5,1.53,2.05
AAPL,2024-08-01,1.34,1.4,4.36
AAPL,2024-10-31,1.6,1.64,2.28
AAPL,2025-01-30,2.35,2.4,2.26
AAPL,2025-05-01,1.63,1.65,1.5
AAPL,2025-07-31,1.43,1.57,9.48
AAPL,2025-10-30,1.77,1.85,4.45
AAPL,2026-01-29,2.67,2.84,6.25
AAPL,2026-04-30,1.95,,
ABBV,2024-04-26,2.26,2.31,2.37
ABBV,2024-07-25,2.66,2.65,-0.39
ABBV,2024-10-30,2.92,3.0,2.82
ABBV,2025-01-31,2.12,2.16,1.92
ABBV,2025-04-25,2.4,2.46,2.62
ABBV,2025-07-31,2.91,2.97,2.14
ABBV,2025-10-31,1.78,1.86,4.23
ABBV,2026-02-04,2.65,2.71,2.16
ABBV,2026-04-29,2.69,,
AMD,2024-04-30,0.61,0.62,2.04
AMD,2024-07-30,0.68,0.69,1.26
AMD,2024-10-29,0.92,0.92,0.46
AMD,2025-02-04,1.09,1.09,0.36
AMD,2025-05-06,0.93,0.96,2.83
AMD,2025-08-05,0.48,0.48,-0.55
AMD,2025-11-04,0.68,0.75,10.04
AMD,2026-02-03,1.32,1.53,15.98
AMD,2026-05-05,1.28,,
AMGN,2024-05-02,3.89,3.96,1.83
AMGN,2024-08-06,5.0,4.97,-0.62
AMGN,2024-10-30,5.11,5.58,9.29
AMGN,2025-02-04,5.08,5.31,4.63
AMGN,2025-05-01,4.26,4.9,15.01
AMGN,2025-08-05,5.28,6.02,14.08
AMGN,2025-11-04,2.6,5.93,128.14
AMGN,2026-02-03,2.41,2.45,1.5
AMGN,2026-04-30,4.76,,
AVGO,2024-06-12,1.08,1.1,1.08
AVGO,2024-09-05,1.21,1.24,2.79
AVGO,2024-12-12,1.39,1.42,2.04
AVGO,2025-03-06,1.51,1.6,6.11
AVGO,2025-06-05,1.57,1.58,0.59
AVGO,2025-09-04,1.66,1.69,1.6
AVGO,2025-12-11,1.87,1.95,4.38
AVGO,2026-03-04,1.42,1.5,5.61
AVGO,2026-06-03,2.39,,
BAC,2024-07-16,0.8,0.83,3.58
BAC,2024-10-15,0.76,0.81,6.17
BAC,2025-01-16,0.77,0.82,6.7
BAC,2025-04-15,0.81,0.9,10.74
BAC,2025-07-16,0.86,0.89,3.61
BAC,2025-10-15,0.95,1.06,11.43
BAC,2026-01-14,0.95,0.98,2.69
BAC,2026-04-15,1.02,1.11,8.78
BAC,2026-07-14,1.09,,
BMY,2024-07-26,1.63,2.07,27.37
BMY,2024-10-31,1.5,1.8,19.98
BMY,2025-02-06,1.47,1.67,13.8
BMY,2025-04-24,1.5,1.8,19.88
BMY,2025-07-31,1.1,1.46,32.6
BMY,2025-10-30,1.04,1.08,3.44
BMY,2026-02-05,1.2,1.26,4.57
BMY,2026-04-30,1.42,,
CVX,2024-04-26,2.91,2.93,0.59
CVX,2024-08-02,3.0,2.55,-14.9
CVX,2024-11-01,2.42,2.51,3.86
CVX,2025-01-31,2.11,2.06,-2.28
CVX,2025-05-02,2.15,2.18,1.31
